Checkpoint,FID,IS Mean,IS Std
model-1,401.606514517876,1.215438723564148,0.015452423132956028
model-2,395.0912494061014,1.3067169189453125,0.022318867966532707
model-3,363.50669460980293,1.4239343404769897,0.04167071729898453
model-4,292.80262845314553,2.113759994506836,0.13137787580490112
model-5,244.0037387606903,3.0399045944213867,0.20293033123016357
model-6,212.8021711570747,3.913860321044922,0.22954224050045013
model-7,189.78550423827352,4.37489652633667,0.4063294231891632
model-8,180.2784449223154,4.732387542724609,0.3007195293903351
model-9,177.74376660544795,5.145821571350098,0.4263087213039398
model-10,176.86682892395677,5.097708702087402,0.47863486409187317
model-11,175.80114292831195,5.275187969207764,0.49586221575737
model-12,178.45232325549784,5.1100287437438965,0.40359076857566833
model-13,175.23017548067696,5.1298651695251465,0.22369082272052765
model-14,181.10882681310505,5.2693610191345215,0.3899879455566406
model-15,186.45078134046003,5.015307426452637,0.4559888541698456
model-16,185.90883665355744,5.2284064292907715,0.618179202079773
model-17,188.16219963670005,5.169879913330078,0.44062647223472595
model-18,181.91005630737789,5.1373515129089355,0.3212042450904846
model-19,180.64437950045487,5.16333532333374,0.28202253580093384
model-20,178.6286488155035,5.211437702178955,0.34060797095298767
model-21,178.0562812462416,5.626406192779541,0.3392621576786041
model-22,177.656607826445,5.047730922698975,0.31656602025032043
model-23,176.2437210420029,5.4996185302734375,0.21606259047985077
model-24,182.48680642189225,5.29028844833374,0.3642822206020355
model-25,186.38404449462598,4.91082239151001,0.3013312518596649
model-26,183.8871969599653,5.217811107635498,0.35645511746406555
model-27,187.32811352622176,5.061154842376709,0.3063918948173523
model-28,186.00383686486612,4.951906681060791,0.2817106246948242
model-29,186.17805381836394,5.083845615386963,0.3530677556991577
model-30,188.23042926318675,4.9903178215026855,0.5433530211448669
model-31,184.72751705736331,5.1571221351623535,0.4188920259475708
model-32,190.54466072154122,4.9039626121521,0.25122418999671936
model-33,185.68827459127493,4.905106544494629,0.32310256361961365
model-34,188.36562453241817,5.068593978881836,0.5843176245689392
model-35,189.07057580803107,5.043710231781006,0.3806909918785095
model-36,189.86864548233544,4.863544464111328,0.314456582069397
model-37,187.64652378409886,5.049757480621338,0.21112659573554993
model-38,188.71987963986996,4.922828674316406,0.25475114583969116
model-39,190.9263888456087,4.914784908294678,0.36470475792884827
model-40,191.24890700431,4.907064914703369,0.39631086587905884
model-41,189.9575099608657,4.768496990203857,0.3428822457790375
model-42,192.31004023717483,4.765057563781738,0.33567601442337036
model-43,189.30101256001836,4.697276592254639,0.5133305191993713
model-44,189.07540976996432,4.992076396942139,0.3522062599658966
model-45,191.52354232135474,4.955679416656494,0.39701783657073975
model-46,191.9256257349213,4.88409423828125,0.3179902732372284
model-47,188.95254476974156,4.967533111572266,0.5012539029121399
model-48,190.7957808997504,4.819798469543457,0.35836130380630493
model-49,193.2330977129375,4.682799816131592,0.3685115873813629
model-50,194.4345994900607,4.837496757507324,0.41563794016838074
model-51,193.88722156516974,4.646248817443848,0.35965821146965027
model-52,192.65309773315172,4.708693027496338,0.35887235403060913
model-53,192.8718666481104,5.070485591888428,0.29879170656204224
model-54,193.8629273814494,4.9350409507751465,0.5642370581626892
model-55,196.48550748167753,4.847236633300781,0.44345518946647644
model-56,194.89612542586687,4.939633846282959,0.46633821725845337
model-57,191.8185252547343,4.660759925842285,0.2966683506965637
model-58,191.1319036955964,4.728433132171631,0.3055371046066284
model-59,191.70300504305368,4.991382598876953,0.43621551990509033
model-60,193.46716218307122,4.6382317543029785,0.32469427585601807
model-61,192.8281373057004,5.092278003692627,0.45612767338752747
model-62,194.16751732677136,4.721078395843506,0.29387611150741577
model-63,193.318892890352,4.837693691253662,0.407164990901947
model-64,195.94594244792296,4.710936069488525,0.4009895622730255
model-65,193.94759469675796,4.73931360244751,0.278671532869339
model-66,196.03676537383342,4.807657718658447,0.3545779883861542
model-67,197.13703376959603,4.9029364585876465,0.2874477505683899
model-68,190.6680425835176,4.705914497375488,0.3568669557571411
model-69,193.58604071960843,4.99850606918335,0.4846791923046112
model-70,195.175902098052,4.57427978515625,0.3811006546020508
model-71,194.84045459860542,4.868216037750244,0.39128977060317993
model-72,196.99796421739245,4.631096363067627,0.2623896896839142
model-73,196.76553164295535,4.835473537445068,0.4050947427749634
model-74,197.60173798840802,4.701485633850098,0.4236850440502167
model-75,193.71594228097902,5.203740119934082,0.3606451153755188
